1989 JAN,4.9
1989 FEB,5
1989 MAR,5
1989 APR,5.3
1989 MAY,5.3
1989 JUN,5.2
1989 JUL,5.2
1989 AUG,5
1989 SEP,5.2
1989 OCT,5.5
1989 NOV,5.5
1989 DEC,5.5
1990 JAN,5.7
1990 FEB,5.9
1990 MAR,6
1990 APR,6.4
1990 MAY,6.8
1990 JUN,6.9
1990 JUL,6.8
1990 AUG,7.7
1990 SEP,8.1
1990 OCT,8.1
1990 NOV,7.8
1990 DEC,7.6
1991 JAN,7.1
1991 FEB,7
1991 MAR,6.9
1991 APR,8.5
1991 MAY,8.2
1991 JUN,8.4
1991 JUL,8.3
1991 AUG,7.7
1991 SEP,7.1
1991 OCT,6.8
1991 NOV,7.1
1991 DEC,7.2
1992 JAN,7
1992 FEB,6.9
1992 MAR,7.1
1992 APR,4.7
1992 MAY,4.3
1992 JUN,3.8
1992 JUL,3.6
1992 AUG,3.2
1992 SEP,3
1992 OCT,2.9
1992 NOV,2.6
1992 DEC,2.6
1993 JAN,2.2
1993 FEB,2.4
1993 MAR,2.5
1993 APR,2.5
1993 MAY,2.5
1993 JUN,2.4
1993 JUL,2.6
1993 AUG,2.9
1993 SEP,3
1993 OCT,2.6
1993 NOV,2.3
1993 DEC,2.4
1994 JAN,2.7
1994 FEB,2.5
1994 MAR,2.2
1994 APR,2
1994 MAY,2
1994 JUN,2
1994 JUL,1.7
1994 AUG,1.9
1994 SEP,1.5
1994 OCT,1.5
1994 NOV,1.8
1994 DEC,2
1995 JAN,2.4
1995 FEB,2.4
1995 MAR,2.6
1995 APR,2.3
1995 MAY,2.5
1995 JUN,2.6
1995 JUL,2.6
1995 AUG,2.6
1995 SEP,3
1995 OCT,2.9
1995 NOV,2.8
1995 DEC,3
1996 JAN,2.7
1996 FEB,2.7
1996 MAR,2.6
1996 APR,2.6
1996 MAY,2.4
1996 JUN,2.4
1996 JUL,2.3
1996 AUG,2.3
1996 SEP,2.3
1996 OCT,2.5
1996 NOV,2.6
1996 DEC,2.3
1997 JAN,2.1
1997 FEB,1.9
1997 MAR,1.7
1997 APR,1.6
1997 MAY,1.6
1997 JUN,1.7
1997 JUL,2
1997 AUG,2
1997 SEP,1.8
1997 OCT,1.9
1997 NOV,1.9
1997 DEC,1.7
1998 JAN,1.5
1998 FEB,1.6
1998 MAR,1.7
1998 APR,1.8
1998 MAY,2
1998 JUN,1.7
1998 JUL,1.4
1998 AUG,1.3
1998 SEP,1.4
1998 OCT,1.4
1998 NOV,1.4
1998 DEC,1.6
1999 JAN,1.6
1999 FEB,1.4
1999 MAR,1.7
1999 APR,1.5
1999 MAY,1.3
1999 JUN,1.3
1999 JUL,1.3
1999 AUG,1.2
1999 SEP,1.2
1999 OCT,1.1
1999 NOV,1.2
1999 DEC,1.1
2000 JAN,0.8
2000 FEB,0.9
2000 MAR,0.6
2000 APR,0.6
2000 MAY,0.5
2000 JUN,0.8
2000 JUL,0.9
2000 AUG,0.6
2000 SEP,1
2000 OCT,1
2000 NOV,1.1
2000 DEC,0.8
2001 JAN,0.9
2001 FEB,0.8
2001 MAR,0.9
2001 APR,1.2
2001 MAY,1.7
2001 JUN,1.7
2001 JUL,1.4
2001 AUG,1.8
2001 SEP,1.3
2001 OCT,1.2
2001 NOV,0.8
2001 DEC,1.1
2002 JAN,1.6
2002 FEB,1.5
2002 MAR,1.5
2002 APR,1.4
2002 MAY,0.8
2002 JUN,0.6
2002 JUL,1.1
2002 AUG,1
2002 SEP,1
2002 OCT,1.4
2002 NOV,1.5
2002 DEC,1.7
2003 JAN,1.3
2003 FEB,1.6
2003 MAR,1.5
2003 APR,1.4
2003 MAY,1.3
2003 JUN,1.1
2003 JUL,1.3
2003 AUG,1.4
2003 SEP,1.4
2003 OCT,1.4
2003 NOV,1.3
2003 DEC,1.3
2004 JAN,1.4
2004 FEB,1.3
2004 MAR,1.1
2004 APR,1.1
2004 MAY,1.5
2004 JUN,1.6
2004 JUL,1.4
2004 AUG,1.3
2004 SEP,1.1
2004 OCT,1.2
2004 NOV,1.5
2004 DEC,1.7
2005 JAN,1.6
2005 FEB,1.7
2005 MAR,1.9
2005 APR,1.9
2005 MAY,1.9
2005 JUN,2
2005 JUL,2.3
2005 AUG,2.4
2005 SEP,2.5
2005 OCT,2.3
2005 NOV,2.1
2005 DEC,1.9
2006 JAN,1.9
2006 FEB,2
2006 MAR,1.8
2006 APR,2
2006 MAY,2.2
2006 JUN,2.5
2006 JUL,2.4
2006 AUG,2.5
2006 SEP,2.4
2006 OCT,2.4
2006 NOV,2.7
2006 DEC,3
2007 JAN,2.7
2007 FEB,2.8
2007 MAR,3.1
2007 APR,2.8
2007 MAY,2.5
2007 JUN,2.4
2007 JUL,1.9
2007 AUG,1.8
2007 SEP,1.8
2007 OCT,2.1
2007 NOV,2.1
2007 DEC,2.1
2008 JAN,2.2
2008 FEB,2.5
2008 MAR,2.5
2008 APR,3
2008 MAY,3.3
2008 JUN,3.8
2008 JUL,4.4
2008 AUG,4.7
2008 SEP,5.2
2008 OCT,4.5
2008 NOV,4.1
2008 DEC,3.1
2009 JAN,3
2009 FEB,3.2
2009 MAR,2.9
2009 APR,2.3
2009 MAY,2.2
2009 JUN,1.8
2009 JUL,1.8
2009 AUG,1.6
2009 SEP,1.1
2009 OCT,1.5
2009 NOV,1.9
2009 DEC,2.9
2010 JAN,3.5
2010 FEB,3
2010 MAR,3.4
2010 APR,3.7
2010 MAY,3.4
2010 JUN,3.2
2010 JUL,3.1
2010 AUG,3.1
2010 SEP,3.1
2010 OCT,3.2
2010 NOV,3.3
2010 DEC,3.7
2011 JAN,4
2011 FEB,4.4
2011 MAR,4
2011 APR,4.5
2011 MAY,4.5
2011 JUN,4.2
2011 JUL,4.4
2011 AUG,4.5
2011 SEP,5.2
2011 OCT,5
2011 NOV,4.8
