Title,Grid Reference,X (Easting),Y (Northing),Latitude,Longitude,Postcode
Point E,TL 47775 57920,547775,257920,52.199706,0.16085529,CB1 3FG
Point F,TL 48354 57608,548354,257608,52.196747,0.16918087,CB1 3FG
Point G,TL 48427 57717,548427,257717,52.197707,0.17029667,CB1 3FF
Point H,TL 48495 57660,548495,257660,52.197181,0.17126226,CB1 3FF
Point I,TL 48572 57791,548572,257791,52.198338,0.17244244,CB5 8SA
Point J,TL 48778 57677,548778,257677,52.19726,0.17540359,CB1 3GL
Point K,TL 48866 57818,548866,257818,52.198496,0.17675543,CB1 3LG
Point L,TL 48924 57875,548924,257875,52.198996,0.17763519,CB1 3LG
Point M,TL 49219 58218,549219,258218,52.201994,0.18209839,CB1 9BH
Point N,TL 49180 58257,549180,258257,52.202362,0.18154049,CB1 9BH
Point O,TL 49311 58477,549311,258477,52.204296,0.18355751,CB1 9BH
Point P,TL 49379 58439,549379,258439,52.20394,0.18452311,CB1 9BH
Point Q,TL 49401 58463,549401,258463,52.204151,0.18486643,CB1 9BH
Point R,TL 49417 58636,549417,258636,52.205703,0.18516684,CB1 9BH
Point S,TL 49531 58876,549531,258876,52.20782,0.18694782,CB1 9BH
Point T,TL 49726 59082,549726,259082,52.209621,0.18988752,CB1 9BH
Point U,TL 49785 59167,549785,259167,52.210371,0.19078875,CB1 9BH
Point V,TL 49811 59245,549811,259245,52.211067,0.19119644,CB1 9AT
Point W,TL 49737 59259,549737,259259,52.211212,0.19012356,CB5 8AA
Point X,TL 49456 59263,549456,259263,52.211317,0.18602514,CB5 8AA
Point Y,TL 48737 59169,548737,259169,52.210673,0.17546797,CB5 8TG
Point Z,TL 48603 59192,548603,259192,52.21091,0.17351532,CB5 8RT
Point BA,TL 48583 59097,548583,259097,52.210068,0.173172,CB5 8SB
Point BB,TL 48489 59072,548489,259072,52.209871,0.17179871,CB5 8SB
Point BC,TL 48439 59080,548439,259080,52.20995,0.17106915,CB5 8SB
Point BD,TL 48413 59064,548413,259064,52.209818,0.17068291,CB5 8SB
Point BE,TL 48331 59087,548331,259087,52.210042,0.16948128,CB5 8SB
Point BF,TL 48246 58910,548246,258910,52.208477,0.16817236,CB5 8SG
Point BG,TL 48267 58892,548267,258892,52.208306,0.16847277,CB5 8SG
Point BH,TL 48259 58821,548259,258821,52.207675,0.16832256,CB5 8UU
Point BI,TL 48098 58715,548098,258715,52.206768,0.1659193,CB5 8UZ
Point BJ,TL 48056 58616,548056,258616,52.205887,0.16525412,CB5 8UZ
Point BK,TL 47986 58592,547986,258592,52.205689,0.16422415,CB5 8RE
Point BL,TL 48019 58278,548019,258278,52.202862,0.16456747,CB5 8RD
